*ROUTINGS (Product, User Defined, Part, Flow% , From, Method, Container, Containers/Trip, Parts/Container, To, Via Loc, Via Method, Via Containers/Trip, Description), From Load (sec), To Unload (sec), Via Unload (sec), Via Load (sec), Dist (in), Eff Dist (in), Freq, L/UL Time (secs), Travel Time (secs), Via Dist (in), Via Eff Dist (in), Via Freq, Via L/UL Time (mins), Via Travel Time (mins)), Volume, Process/Walk/Dist
Grill,,Legs,100,D1,Pallettruck,Pallet,3,100,R,,,0,,,,,,22.6541,30.2055,30000,50,0.2517125,0,0,0,0,0,0,50.00
Grill,,Legs,100,D2,Pallettruck,Pallet,3,100,R,,,0,,,,,,29.2395,38.986,30000,50,0.324883333333333,0,0,0,0,0,0,50.00
Grill,,Legs,100,R,Pallettruck,Pallet,3,100,I,,,0,,,,,,32.8937,43.8583,30000,50,0.365485833333333,0,0,0,0,0,0,50.00
Grill,,Legs,100,I,Pallettruck,Pallet,3,100,S1,,,0,,,,,,46.6153,62.1538,30000,50,0.517948333333333,0,0,0,0,0,0,50.00
Grill,,Legs,100,S1,Pallettruck,Pallet,3,100,F,,,0,,,,,,97.717,130.2894,30000,50,1.085745,0,0,0,0,0,0,50.00
Grill,,Legs,100,F,Pallettruck,Pallet,3,100,Pa,,,0,,,,,,104.1714,138.8952,30000,50,1.15746,0,0,0,0,0,0,50.00
Grill,,Legs,100,Pa,Pallettruck,Pallet,3,100,P,,,0,,,,,,101.868,135.824,30000,50,1.13186666666667,0,0,0,0,0,0,50.00
Grill,,Legs,100,Pa,Pallettruck,Pallet,3,100,S2,,,0,,,,,,104.8278,139.7704,30000,50,1.16475333333333,0,0,0,0,0,0,50.00
Grill,,Legs,100,S2,Pallettruck,Pallet,3,100,S,,,0,,,,,,56.4,75.2001,30000,50,0.6266675,0,0,0,0,0,0,50.00
Grill,,Legs,100,S,Pallettruck,Pallet,3,100,D3,,,0,,,,,,28.5522,38.0696,30000,50,0.317246666666667,0,0,0,0,0,0,50.00
Grill,,Legs,100,S,Pallettruck,Pallet,3,100,D4,,,0,,,,,,30.5276,40.7034,30000,50,0.339195,0,0,0,0,0,0,50.00
Grill,,Legs,100,S,Pallettruck,Pallet,3,100,D5,,,0,,,,,,32.6032,43.471,30000,50,0.362258333333333,0,0,0,0,0,0,50.00
Grill,,Legs,100,S,Pallettruck,Pallet,3,100,D6,,,0,,,,,,35.9541,47.9388,30000,50,0.39949,0,0,0,0,0,0,50.00
Grill,,TopBrace,100,D1,Forklift,Pallet,2,1500,R,,,0,,,,,,22.6541,30.2055,1500,30,0.0839041666666667,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,D2,Forklift,Pallet,2,1500,R,,,0,,,,,,29.2395,38.986,1500,30,0.108294444444444,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,R,Forklift,Pallet,2,1500,I,,,0,,,,,,32.8937,43.8583,1500,30,0.121828611111111,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,I,Forklift,Pallet,2,1500,S1,,,0,,,,,,46.6153,62.1538,1500,30,0.172649444444444,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,S1,Forklift,Pallet,2,1500,F,,,0,,,,,,97.717,130.2894,1500,30,0.361915,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,F,Forklift,Pallet,2,1500,Pa,,,0,,,,,,104.1714,138.8952,1500,30,0.38582,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,Pa,Forklift,Pallet,2,1500,P,,,0,,,,,,101.868,135.824,1500,30,0.377288888888889,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,Pa,Forklift,Pallet,2,1500,S2,,,0,,,,,,104.8278,139.7704,1500,30,0.388251111111111,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,S2,Forklift,Pallet,2,1500,S,,,0,,,,,,56.4,75.2001,1500,30,0.208889166666667,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,S,Forklift,Pallet,2,1500,D3,,,0,,,,,,28.5522,38.0696,1500,30,0.105748888888889,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,S,Forklift,Pallet,2,1500,D4,,,0,,,,,,30.5276,40.7034,1500,30,0.113065,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,S,Forklift,Pallet,2,1500,D5,,,0,,,,,,32.6032,43.471,1500,30,0.120752777777778,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,S,Forklift,Pallet,2,1500,D6,,,0,,,,,,35.9541,47.9388,1500,30,0.133163333333333,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,D1,Forklift,Pallet,3,500,R,,,0,,,,,,22.6541,30.2055,1500,30,0.0839041666666667,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,D2,Forklift,Pallet,3,500,R,,,0,,,,,,29.2395,38.986,1500,30,0.108294444444444,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,R,Forklift,Pallet,3,500,I,,,0,,,,,,32.8937,43.8583,1500,30,0.121828611111111,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,I,Forklift,Pallet,3,500,S1,,,0,,,,,,46.6153,62.1538,1500,30,0.172649444444444,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,S1,Forklift,Pallet,3,500,F,,,0,,,,,,97.717,130.2894,1500,30,0.361915,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,F,Forklift,Pallet,3,500,Pa,,,0,,,,,,104.1714,138.8952,1500,30,0.38582,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,Pa,Forklift,Pallet,3,500,P,,,0,,,,,,101.868,135.824,1500,30,0.377288888888889,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,Pa,Forklift,Pallet,3,500,S2,,,0,,,,,,104.8278,139.7704,1500,30,0.388251111111111,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,S2,Forklift,Pallet,3,500,S,,,0,,,,,,56.4,75.2001,1500,30,0.208889166666667,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,S,Forklift,Pallet,3,500,D3,,,0,,,,,,28.5522,38.0696,1500,30,0.105748888888889,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,S,Forklift,Pallet,3,500,D4,,,0,,,,,,30.5276,40.7034,1500,30,0.113065,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,S,Forklift,Pallet,3,500,D5,,,0,,,,,,32.6032,43.471,1500,30,0.120752777777778,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,S,Forklift,Pallet,3,500,D6,,,0,,,,,,35.9541,47.9388,1500,30,0.133163333333333,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,D1,Forklift,Pallet,3,2000,R,,,0,,,,,,22.6541,30.2055,1500,30,0.0839041666666667,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,D2,Forklift,Pallet,3,2000,R,,,0,,,,,,29.2395,38.986,1500,30,0.108294444444444,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,R,Forklift,Pallet,3,2000,I,,,0,,,,,,32.8937,43.8583,1500,30,0.121828611111111,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,I,Forklift,Pallet,3,2000,S1,,,0,,,,,,46.6153,62.1538,1500,30,0.172649444444444,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,S1,Forklift,Pallet,3,2000,F,,,0,,,,,,97.717,130.2894,1500,30,0.361915,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,F,Forklift,Pallet,3,2000,P,,,0,,,,,,196.1943,261.5923,1500,30,0.726645277777778,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,P,Forklift,Pallet,3,2000,S2,,,0,,,,,,36.7928,49.0571,1500,30,0.136269722222222,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,S2,Forklift,Pallet,3,2000,S,,,0,,,,,,56.4,75.2001,1500,30,0.208889166666667,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,S,Forklift,Pallet,3,2000,D3,,,0,,,,,,28.5522,38.0696,1500,30,0.105748888888889,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,S,Forklift,Pallet,3,2000,D4,,,0,,,,,,30.5276,40.7034,1500,30,0.113065,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,S,Forklift,Pallet,3,2000,D5,,,0,,,,,,32.6032,43.471,1500,30,0.120752777777778,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,S,Forklift,Pallet,3,2000,D6,,,0,,,,,,35.9541,47.9388,1500,30,0.133163333333333,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,D1,Forklift,Pallet,2,1500,R,,,0,,,,,,22.6541,30.2055,1500,30,0.0839041666666667,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,D2,Forklift,Pallet,2,1500,R,,,0,,,,,,29.2395,38.986,1500,30,0.108294444444444,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,R,Forklift,Pallet,2,1500,I,,,0,,,,,,32.8937,43.8583,1500,30,0.121828611111111,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,I,Forklift,Pallet,2,1500,S1,,,0,,,,,,46.6153,62.1538,1500,30,0.172649444444444,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,S1,Forklift,Pallet,2,1500,F,,,0,,,,,,97.717,130.2894,1500,30,0.361915,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,F,Forklift,Pallet,2,1500,Pa,,,0,,,,,,104.1714,138.8952,1500,30,0.38582,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,Pa,Forklift,Pallet,2,1500,P,,,0,,,,,,101.868,135.824,1500,30,0.377288888888889,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,Pa,Forklift,Pallet,2,1500,S2,,,0,,,,,,104.8278,139.7704,1500,30,0.388251111111111,0,0,0,0,0,0,30.00
Grill,,Bottombrace,100,S2,Forklift,Pallet,2,1500,S,,,0,,,,,,56.4,75.2001,1500,30,0.208889166666667,0,0,0,0,0,0,30.00
