*ROUTINGS (Product, User Defined, Part, Flow% , From, Method, Container, Containers/Trip, Parts/Container, To, Via Loc, Via Method, Via Containers/Trip, Description), From Load (sec), To Unload (sec), Via Unload (sec), Via Load (sec), Dist (mm), Eff Dist (mm), Freq, L/UL Time (secs), Travel Time (secs), Via Dist (mm), Via Eff Dist (mm), Via Freq, Via L/UL Time (mins), Via Travel Time (mins)), Volume, Process/Walk/Dist
GRILL,,LEGS,100,D1,PALLETTRUCK,PALLET,3,800,R,,,0,,,,,,22.6541,30.2055,5544.96,50,0.00302055,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,D2,PALLETTRUCK,PALLET,3,800,R,,,0,,,,,,29.2395,38.986,5544.96,50,0.0038986,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,R,PALLETTRUCK,PALLET,3,800,I,,,0,,,,,,32.8937,43.8583,5544.96,50,0.00438583,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,I,PALLETTRUCK,PALLET,3,800,S1,,,0,,,,,,46.6153,62.1538,5544.96,50,0.00621538,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,S1,PALLETTRUCK,PALLET,3,800,F,,,0,,,,,,97.717,130.2894,5544.96,50,0.01302894,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,F,PALLETTRUCK,PALLET,3,800,PA,,,0,,,,,,104.1714,138.8952,5544.96,50,0.01388952,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,PA,PALLETTRUCK,PALLET,3,800,P,,,0,,,,,,101.868,135.824,5544.96,50,0.0135824,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,P,PALLETTRUCK,PALLET,3,800,S2,,,0,,,,,,36.7928,49.0571,5544.96,50,0.00490571,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,S2,PALLETTRUCK,PALLET,3,800,S,,,0,,,,,,56.4,75.2001,5544.96,50,0.00752001,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,S,PALLETTRUCK,PALLET,3,800,D3,,,0,,,,,,28.5522,38.0696,5544.96,50,0.00380696,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,S,PALLETTRUCK,PALLET,3,800,D4,,,0,,,,,,30.5276,40.7034,5544.96,50,0.00407034,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,S,PALLETTRUCK,PALLET,3,800,D5,,,0,,,,,,32.6032,43.471,5544.96,50,0.0043471,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,S,PALLETTRUCK,PALLET,3,800,D6,,,0,,,,,,35.9541,47.9388,5544.96,50,0.00479388,0,0,0,0,0,3E-09,50.00
GRILL,,LEGS,100,S,PALLETTRUCK,PALLET,3,800,D7,,,0,,,,,,46.0804,61.4406,5544.96,50,0.00614406,0,0,0,0,0,3E-09,50.00
Grill,,TopBrace,100,D1,Forklift,Pallet,2,1500,R,,,0,,,,,,22.6541,30.2055,2217.984,30,0.00100685,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,D2,Forklift,Pallet,2,1500,R,,,0,,,,,,29.2395,38.986,2217.984,30,0.00129953333333333,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,R,Forklift,Pallet,2,1500,I,,,0,,,,,,32.8937,43.8583,2217.984,30,0.00146194333333333,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,I,Forklift,Pallet,2,1500,S1,,,0,,,,,,46.6153,62.1538,2217.984,30,0.00207179333333333,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,S1,Forklift,Pallet,2,1500,F,,,0,,,,,,97.717,130.2894,2217.984,30,0.00434298,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,F,Forklift,Pallet,2,1500,Pa,,,0,,,,,,104.1714,138.8952,2217.984,30,0.00462984,0,0,0,0,0,0,30.00
Grill,,TopBrace,100,Pa,Forklift,Pallet,2,1500,P,,,0,,,,,,101.868,135.824,2217.984,30,0.00452746666666667,0,0,0,0,0,0,30.00
